firstname,lastname,gender,birthmonth,birthday,birthyear,course,phonenumber,carrier
name1,lastname1,Female,November,26,1998,BS Legal Management,0918 302 6210,Smart
name2,lastname2,Female,May,26,2001,BS Management,0927 212 6276,Globe
name3,lastname3,Female,May,16,1997,BS Communications Technology Management,0918 253 7017,Smart
name4,lastname4,Male,December,9,1997,BS IT Entrepreneurship,0918 714 4360,Smart
name5,lastname5,Female,September,5,1997,BS Communications Technology Management,0927 462 1674,Globe
name6,lastname6,Female,March,2,1999,BS Management,0918 629 5268,Smart
name7,lastname7,Female,November,10,1998,BS Legal Management,0917 369 7388,Globe
name8,lastname8,Male,August,28,1999,BS Management Engineering,0917 240 6000,Globe
name9,lastname9,Male,July,10,1997,BS Management Engineering,0918 226 5748,Smart
name10,lastname10,Female,September,14,2001,BS Communications Technology Management,0918 342 1717,Smart
name11,lastname11,Male,December,8,1998,BS Legal Management,0927 708 1308,Globe
name12,lastname12,Male,May,4,1997,BS Management Engineering,0927 747 5497,Globe
name13,lastname13,Female,January,28,1999,BS Communications Technology Management,0917 959 4490,Globe
name14,lastname14,Female,January,11,1999,BS Management,0927 543 4192,Globe
name15,lastname15,Male,June,6,1998,BS IT Entrepreneurship,0917 211 9497,Globe
name16,lastname16,Male,April,20,1999,BS Legal Management,0918 185 5162,Smart
name17,lastname17,Female,January,3,1997,BS IT Entrepreneurship,0927 146 8146,Globe
name18,lastname18,Female,April,8,1997,BS Management,0927 516 4280,Globe
name19,lastname19,Male,December,28,1997,BS IT Entrepreneurship,0927 958 6909,Globe
name20,lastname20,Male,March,10,1997,BS Management Engineering,0917 514 9105,Globe
name21,lastname21,Female,July,13,1999,BS Legal Management,0927 984 7499,Globe
name22,lastname22,Male,September,15,1999,BS IT Entrepreneurship,0927 699 3694,Globe
name23,lastname23,Male,April,15,1997,BS Management,0917 317 2478,Globe
name24,lastname24,Male,October,1,1997,BS Management Engineering,0917 159 3829,Globe
name25,lastname25,Male,May,6,1997,BS Management Engineering,0918 898 6972,Smart
