firstname,lastname,birthmonth,birthday,birthyear,course,phonenumber
name2,lastname2,May,26,2001,BS Management,0927 212 6276
name3,lastname3,May,16,1997,BS Communications Technology Management,0918 253 7017
name4,lastname4,December,9,1997,BS IT Entrepreneurship,0918 714 4360
name5,lastname5,September,5,1997,BS Communications Technology Management,0927 462 1674
name6,lastname6,March,2,1999,BS Management,0918 629 5268
name7,lastname7,November,10,1998,BS Legal Management,0917 369 7388
name8,lastname8,August,28,1999,BS Management Engineering,0917 240 6000
name9,lastname9,July,10,1997,BS Management Engineering,0918 226 5748
name10,lastname10,September,14,2001,BS Communications Technology Management,0918 342 1717
name11,lastname11,December,8,1998,BS Legal Management,0927 708 1308
name12,lastname12,May,4,1997,BS Management Engineering,0927 747 5497
name13,lastname13,January,28,1999,BS Communications Technology Management,0917 959 4490
name14,lastname14,January,11,1999,BS Management,0927 543 4192
name15,lastname15,June,6,1998,BS IT Entrepreneurship,0917 211 9497
name16,lastname16,April,20,1999,BS Legal Management,0918 185 5162
name17,lastname17,January,3,1997,BS IT Entrepreneurship,0927 146 8146
name18,lastname18,April,8,1997,BS Management,0927 516 4280
name19,lastname19,December,28,1997,BS IT Entrepreneurship,0927 958 6909
name20,lastname20,March,10,1997,BS Management Engineering,0917 514 9105
name21,lastname21,July,13,1999,BS Legal Management,0927 984 7499
name22,lastname22,September,15,1999,BS IT Entrepreneurship,0927 699 3694
name23,lastname23,April,15,1997,BS Management,0917 317 2478
name24,lastname24,October,1,1997,BS Management Engineering,0917 159 3829
name25,lastname25,May,6,1997,BS Management Engineering,0918 898 6972
name26,lastname26,December,5,1999,BS Management Engineering,0917 796 4622
name27,lastname27,March,4,1997,BS Communications Technology Management,0927 138 7580
name28,lastname28,November,10,2000,BS Legal Management,0917 195 9244
name29,lastname29,October,10,1999,BS Legal Management,0917 643 3996
name30,lastname30,May,28,1999,BS Communications Technology Management,0917 758 3119
name31,lastname31,April,6,1999,BS IT Entrepreneurship,0918 669 4265
name32,lastname32,July,16,1999,BS Management,0917 750 8539
name33,lastname33,December,17,1999,BS IT Entrepreneurship,0927 236 9504
name34,lastname34,October,4,1999,BS Legal Management,0917 438 4447
name35,lastname35,July,14,2001,BS IT Entrepreneurship,0917 773 6035
name36,lastname36,December,11,1998,BS Management,0918 455 4185
name37,lastname37,February,2,2000,BS Management,0927 889 9252
name38,lastname38,August,25,2001,BS Legal Management,0927 874 8083
name39,lastname39,May,3,1997,BS Management Engineering,0927 842 3053
name40,lastname40,February,27,1998,BS Legal Management,0927 923 1234
name41,lastname41,November,16,1999,BS Management,0918 381 4956
name42,lastname42,September,24,1998,BS Legal Management,0918 602 9278
name43,lastname43,January,13,1999,BS Management,0918 532 6748
name44,lastname44,February,25,1998,BS IT Entrepreneurship,0917 654 1291
name45,lastname45,January,27,1997,BS Management Engineering,0918 244 1683
name46,lastname46,December,24,1998,BS Management Engineering,0917 818 1190
name47,lastname47,August,23,1999,BS Management,0917 468 6425
name48,lastname48,April,13,1999,BS IT Entrepreneurship,0918 635 1688
name49,lastname49,October,11,1997,BS Legal Management,0917 821 1896
name50,lastname50,March,25,2001,BS Legal Management,0927 924 9506
name51,lastname51,August,22,1998,BS IT Entrepreneurship,0918 854 2626
name52,lastname52,March,21,1999,BS Communications Technology Management,0918 438 9745
name53,lastname53,December,15,2000,BS Management,0917 893 8235
name54,lastname54,July,10,1998,BS Communications Technology Management,0918 216 5250
name55,lastname55,May,8,1998,BS Management Engineering,0917 257 1057
name56,lastname56,September,9,1998,BS Management Engineering,0927 949 5098
name57,lastname57,May,9,2001,BS Communications Technology Management,0927 766 6306
name58,lastname58,April,6,1997,BS Management Engineering,0918 851 8794
name59,lastname59,April,24,1998,BS IT Entrepreneurship,0917 901 2860
name60,lastname60,August,26,1999,BS IT Entrepreneurship,0918 681 5912
name61,lastname61,September,8,1998,BS Communications Technology Management,0918 340 1320
name62,lastname62,December,7,2000,BS IT Entrepreneurship,0927 551 1326
name63,lastname63,February,22,2000,BS Management Engineering,0918 975 4142
name64,lastname64,November,13,1997,BS IT Entrepreneurship,0917 466 1269
name65,lastname65,March,23,1997,BS Management Engineering,0927 627 1302
name66,lastname66,September,24,1997,BS Legal Management,0917 553 5101
name67,lastname67,December,9,1997,BS Communications Technology Management,0917 442 5313
name68,lastname68,November,4,2001,BS Management,0927 715 7133
name69,lastname69,November,19,1998,BS Communications Technology Management,0917 448 4860
name70,lastname70,May,12,1998,BS Legal Management,0917 255 1167
name71,lastname71,August,19,1999,BS Communications Technology Management,0918 461 3486
name72,lastname72,December,1,1999,BS Management,0927 347 7129
name73,lastname73,June,21,1998,BS Management Engineering,0918 404 6593
name74,lastname74,October,25,1997,BS Legal Management,0927 737 8051
name75,lastname75,September,17,1998,BS IT Entrepreneurship,0927 348 7430
name76,lastname76,February,2,1997,BS Communications Technology Management,0927 188 4940
name77,lastname77,May,19,2000,BS Communications Technology Management,0918 961 3285
name78,lastname78,September,15,2000,BS Management,0918 510 5817
name79,lastname79,December,23,2000,BS Legal Management,0927 668 6229
name80,lastname80,August,10,1999,BS Communications Technology Management,0927 229 9686
name81,lastname81,February,1,1997,BS Communications Technology Management,0918 873 6019
name82,lastname82,November,22,1997,BS Communications Technology Management,0918 376 7811
name83,lastname83,June,18,2000,BS Management Engineering,0927 118 4679
name84,lastname84,February,28,1999,BS IT Entrepreneurship,0917 236 2591
name85,lastname85,January,10,1999,BS Legal Management,0927 128 1225
name86,lastname86,November,21,1998,BS Management,0918 587 6655
name87,lastname87,August,15,1998,BS IT Entrepreneurship,0918 945 8163
name88,lastname88,January,26,1997,BS Management Engineering,0917 908 6005
name89,lastname89,March,26,1998,BS IT Entrepreneurship,0917 367 9784
name90,lastname90,March,15,1999,BS IT Entrepreneurship,0918 501 6913
name91,lastname91,August,16,1997,BS IT Entrepreneurship,0918 823 1926
name92,lastname92,December,8,1997,BS Management Engineering,0917 449 1492
name93,lastname93,June,14,1998,BS IT Entrepreneurship,0927 196 1085
name94,lastname94,November,24,1997,BS Legal Management,0918 768 1582
name95,lastname95,September,6,2001,BS Communications Technology Management,0927 111 9326
name96,lastname96,March,16,1999,BS Communications Technology Management,0917 699 1883
name97,lastname97,January,19,1997,BS Management,0918 149 1873
name98,lastname98,January,10,1998,BS IT Entrepreneurship,0927 615 1107
name99,lastname99,May,12,1998,BS Communications Technology Management,0927 440 8773
name100,lastname100,May,10,1999,BS Management,0927 787 2993
name101,lastname101,April,2,1997,BS Communications Technology Management,0927 952 3919
name102,lastname102,August,14,2001,BS Legal Management,0918 454 7163
name103,lastname103,December,16,2000,BS Management Engineering,0927 148 8884
name104,lastname104,July,16,2001,BS Communications Technology Management,0918 852 3413
name105,lastname105,March,5,1999,BS IT Entrepreneurship,0917 502 7912
name106,lastname106,August,25,1997,BS Communications Technology Management,0927 510 1038
name107,lastname107,April,21,2001,BS Management,0927 958 1514
name108,lastname108,May,14,1999,BS Management,0918 797 4867
name109,lastname109,August,15,1998,BS Management Engineering,0917 615 3478
name110,lastname110,January,8,1999,BS Management Engineering,0918 661 5521
name111,lastname111,December,22,2001,BS Management Engineering,0918 401 1101
name112,lastname112,May,19,1997,BS Management,0918 469 9048
name113,lastname113,May,27,1997,BS IT Entrepreneurship,0917 389 5698
name114,lastname114,August,22,1999,BS Communications Technology Management,0917 946 6274
name115,lastname115,March,26,1998,BS IT Entrepreneurship,0917 236 8755
name116,lastname116,July,19,1997,BS IT Entrepreneurship,0918 269 1384
name117,lastname117,January,11,1997,BS Legal Management,0918 953 2016
name118,lastname118,February,4,1999,BS Management Engineering,0918 752 1689
name119,lastname119,December,27,1997,BS Legal Management,0927 259 3515
name120,lastname120,February,3,1997,BS Legal Management,0918 732 2042
name121,lastname121,March,5,2000,BS Legal Management,0918 137 1929
name122,lastname122,March,1,2001,BS Legal Management,0917 898 5495
name123,lastname123,April,23,1999,BS Legal Management,0918 479 2283
name124,lastname124,February,2,1999,BS Management,0917 428 8800
name125,lastname125,November,24,1998,BS Legal Management,0917 641 8280
name126,lastname126,June,4,2000,BS Legal Management,0927 272 9008
name127,lastname127,March,3,2000,BS Legal Management,0917 218 3720
name128,lastname128,June,20,1998,BS Legal Management,0918 872 3714
name129,lastname129,October,25,1998,BS Management Engineering,0927 399 5328
name130,lastname130,July,18,2000,BS Management,0927 384 8421
name131,lastname131,February,23,1999,BS Communications Technology Management,0927 278 9317
name132,lastname132,September,10,1999,BS Legal Management,0927 450 3540
name133,lastname133,April,18,1999,BS Communications Technology Management,0927 150 7228
name134,lastname134,May,7,2000,BS Management,0918 995 5243
name135,lastname135,October,3,1999,BS Communications Technology Management,0927 949 9628
name136,lastname136,October,5,2000,BS Management,0927 558 1218
name137,lastname137,June,5,1998,BS Management Engineering,0918 191 7948
name138,lastname138,February,5,1997,BS IT Entrepreneurship,0918 636 6121
name139,lastname139,April,8,1999,BS IT Entrepreneurship,0918 532 3276
name140,lastname140,September,2,1999,BS Management Engineering,0927 795 1469
name141,lastname141,June,8,1998,BS Legal Management,0927 430 8948
name142,lastname142,December,3,1999,BS Legal Management,0918 659 4663
name143,lastname143,November,15,1999,BS Management Engineering,0927 716 8308
name144,lastname144,October,14,1998,BS Management Engineering,0917 855 4111
name145,lastname145,February,9,2001,BS Management,0918 256 2335
name146,lastname146,September,11,1998,BS Management,0927 248 8520
name147,lastname147,December,6,1999,BS Legal Management,0917 856 9506
name148,lastname148,November,13,2000,BS Legal Management,0927 989 2750
name149,lastname149,September,18,1997,BS Management,0927 124 4294
name150,lastname150,August,5,1997,BS Management Engineering,0918 162 5544
name151,lastname151,May,17,1998,BS Legal Management,0918 469 2092
name152,lastname152,March,15,1999,BS Legal Management,0927 145 1261
name153,lastname153,November,2,1999,BS Management Engineering,0927 415 2246
name154,lastname154,August,2,1999,BS Management,0918 331 9863
name155,lastname155,December,14,1999,BS Legal Management,0918 649 2584
name156,lastname156,April,3,1998,BS Management,0918 146 7027
name157,lastname157,August,13,1997,BS Management Engineering,0927 475 9634
name158,lastname158,January,28,1999,BS Legal Management,0927 594 6138
name159,lastname159,October,12,1998,BS Management,0927 653 5975
name160,lastname160,December,25,2000,BS Communications Technology Management,0917 137 6557
name161,lastname161,January,1,2000,BS Communications Technology Management,0917 289 3619
name162,lastname162,January,26,2000,BS Communications Technology Management,0917 388 6944
name163,lastname163,April,17,1999,BS IT Entrepreneurship,0917 307 3272
name164,lastname164,May,25,1997,BS IT Entrepreneurship,0917 925 9571
name165,lastname165,August,12,1998,BS Management,0918 281 2519
name166,lastname166,February,16,1999,BS Management Engineering,0918 536 9523
name167,lastname167,April,4,2000,BS Management,0918 705 3266
name168,lastname168,July,5,1997,BS Management Engineering,0927 511 1039
name169,lastname169,April,13,1998,BS Management Engineering,0918 284 3059
name170,lastname170,June,9,2000,BS IT Entrepreneurship,0927 797 7430
name171,lastname171,August,17,1997,BS Legal Management,0918 227 4954
name172,lastname172,September,24,2000,BS Communications Technology Management,0917 308 1448
name173,lastname173,August,13,1998,BS Management Engineering,0917 180 6600
name174,lastname174,October,19,1998,BS Management Engineering,0927 185 5392
name175,lastname175,June,1,1999,BS Management Engineering,0917 492 1000
name176,lastname176,June,9,1999,BS IT Entrepreneurship,0927 787 2528
name177,lastname177,July,1,2001,BS Management Engineering,0927 614 7614
name178,lastname178,June,12,2001,BS IT Entrepreneurship,0917 735 9355
name179,lastname179,May,4,1998,BS Legal Management,0927 728 7081
name180,lastname180,March,22,1999,BS IT Entrepreneurship,0917 257 4982
name181,lastname181,March,27,1999,BS Management Engineering,0917 744 6240
name182,lastname182,June,2,1998,BS Communications Technology Management,0917 502 7471
name183,lastname183,June,17,1997,BS Management,0918 582 2278
name184,lastname184,December,23,1998,BS IT Entrepreneurship,0927 891 4782
name185,lastname185,April,18,1997,BS Management Engineering,0917 248 5615
name186,lastname186,November,19,1997,BS Management Engineering,0918 859 3958
name187,lastname187,April,18,2001,BS Legal Management,0917 575 5267
name188,lastname188,September,2,1997,BS Management Engineering,0918 621 4437
name189,lastname189,December,7,2000,BS Management,0918 447 8973
name190,lastname190,July,6,1997,BS Management,0918 409 2087
name191,lastname191,May,7,1999,BS Legal Management,0918 742 1522
name192,lastname192,July,9,1999,BS IT Entrepreneurship,0917 222 5936
name193,lastname193,May,25,1997,BS Management Engineering,0918 730 6896
name194,lastname194,September,2,1998,BS Legal Management,0917 399 8033
name195,lastname195,July,15,2001,BS Management Engineering,0917 818 9641
name196,lastname196,May,6,2001,BS Management Engineering,0927 486 8768
name197,lastname197,October,24,2001,BS Management Engineering,0918 708 8549
name198,lastname198,June,15,1997,BS Legal Management,0927 642 6498
name199,lastname199,January,4,1999,BS Communications Technology Management,0927 536 3811
name200,lastname200,November,13,1998,BS Management,0918 621 7426
name201,lastname201,October,27,1997,BS Management,0917 681 9326
name202,lastname202,April,15,2000,BS Management,0918 341 5085
name203,lastname203,March,25,1998,BS Management Engineering,0918 419 5644
name204,lastname204,November,4,1997,BS IT Entrepreneurship,0927 383 5918
name205,lastname205,March,12,2000,BS Management,0917 173 4981
name206,lastname206,December,19,1997,BS Management Engineering,0917 309 4697
name207,lastname207,November,27,2000,BS IT Entrepreneurship,0918 744 5680
name208,lastname208,October,20,1999,BS Communications Technology Management,0918 314 3702
name209,lastname209,March,16,1999,BS Communications Technology Management,0917 764 8372
name210,lastname210,April,2,1998,BS IT Entrepreneurship,0927 750 7712
name211,lastname211,January,26,1999,BS Management,0927 744 7095
name212,lastname212,November,2,1999,BS Management,0917 600 5892
name213,lastname213,August,23,1999,BS Management,0918 482 4436
name214,lastname214,June,8,1999,BS Communications Technology Management,0917 229 1656
name215,lastname215,November,1,1998,BS Communications Technology Management,0917 129 7511
name216,lastname216,October,23,1999,BS Legal Management,0927 931 6222
name217,lastname217,May,2,1998,BS Management Engineering,0917 510 8517
name218,lastname218,April,19,2001,BS Communications Technology Management,0927 859 9615
name219,lastname219,May,28,1997,BS IT Entrepreneurship,0918 883 3812
name220,lastname220,March,25,2001,BS Management,0927 855 3696
name221,lastname221,July,12,2001,BS Management Engineering,0917 869 1592
name222,lastname222,September,5,1999,BS Legal Management,0927 390 2398
name223,lastname223,February,9,1997,BS Management,0918 250 3159
name224,lastname224,December,18,2001,BS Management,0917 914 1992
name225,lastname225,February,27,1998,BS Management Engineering,0917 168 1549
name226,lastname226,March,12,1997,BS Legal Management,0918 812 9824
name227,lastname227,October,8,1997,BS Management,0918 676 3675
name228,lastname228,November,16,1999,BS Management,0927 616 9286
name229,lastname229,June,11,1999,BS Legal Management,0927 975 8823
name230,lastname230,December,4,1997,BS Communications Technology Management,0917 559 2469
name231,lastname231,May,22,1998,BS IT Entrepreneurship,0927 597 2823
name232,lastname232,April,17,2000,BS Management,0917 418 9979
name233,lastname233,June,13,2001,BS Management Engineering,0927 523 4422
name234,lastname234,February,6,1997,BS Communications Technology Management,0917 911 6706
name235,lastname235,July,7,1999,BS Management,0918 656 9527
name236,lastname236,October,23,1998,BS Management,0917 251 3024
name237,lastname237,December,14,1998,BS Legal Management,0927 940 8616
name238,lastname238,March,4,2000,BS Communications Technology Management,0917 261 3868
name239,lastname239,February,5,1997,BS Legal Management,0927 976 2990
name240,lastname240,April,21,2001,BS Legal Management,0917 962 2388
name241,lastname241,September,7,2000,BS Communications Technology Management,0917 560 3594
name242,lastname242,June,1,1998,BS IT Entrepreneurship,0917 267 6749
name243,lastname243,November,19,1998,BS Communications Technology Management,0918 388 9243
name244,lastname244,January,1,2000,BS Communications Technology Management,0918 418 8388
name245,lastname245,March,5,1999,BS Management Engineering,0918 387 4071
name246,lastname246,January,26,1998,BS Communications Technology Management,0918 871 2841
name247,lastname247,August,3,1998,BS Management,0917 242 3611
name248,lastname248,March,22,1998,BS Legal Management,0917 213 2389
name249,lastname249,December,9,2000,BS Management Engineering,0917 548 3044
name250,lastname250,May,24,2001,BS Management Engineering,0927 264 6574
name251,lastname251,January,9,2000,BS Communications Technology Management,0917 582 8763
name252,lastname252,December,6,2001,BS Management,0927 800 6849
name253,lastname253,April,18,1997,BS Management Engineering,0918 414 2565
name254,lastname254,August,3,1997,BS Communications Technology Management,0917 984 6143
name255,lastname255,January,6,2001,BS Management Engineering,0927 234 8693
name256,lastname256,December,7,1997,BS Management,0918 944 9432
name257,lastname257,April,19,1997,BS IT Entrepreneurship,0917 996 8937
name258,lastname258,June,7,2001,BS IT Entrepreneurship,0917 169 7326
name259,lastname259,March,20,1999,BS IT Entrepreneurship,0927 916 1852
name260,lastname260,November,15,2000,BS Communications Technology Management,0917 843 5692
name261,lastname261,June,4,1997,BS Legal Management,0918 456 7658
name262,lastname262,July,26,1998,BS Communications Technology Management,0917 771 4152
name263,lastname263,January,1,2000,BS Management,0917 773 4858
name264,lastname264,November,1,2001,BS IT Entrepreneurship,0918 108 6505
name265,lastname265,November,26,2001,BS Management,0918 332 9306
name266,lastname266,December,5,1997,BS Management,0917 551 8922
name267,lastname267,July,5,1999,BS Legal Management,0917 537 9153
name268,lastname268,October,21,1999,BS Management Engineering,0927 373 9092
name269,lastname269,October,18,2001,BS Legal Management,0918 441 7553
name270,lastname270,April,24,1998,BS IT Entrepreneurship,0927 395 8754
name271,lastname271,March,25,1997,BS Management Engineering,0918 351 3825
name272,lastname272,July,27,1997,BS IT Entrepreneurship,0917 275 1598
name273,lastname273,August,7,1999,BS Communications Technology Management,0927 511 6858
name274,lastname274,January,5,1997,BS Management,0917 580 5437
name275,lastname275,April,20,1998,BS Communications Technology Management,0917 418 9759
name276,lastname276,January,12,2001,BS IT Entrepreneurship,0917 559 3566
name277,lastname277,December,24,1999,BS Legal Management,0927 416 3898
name278,lastname278,February,8,1997,BS Management,0917 735 6446
name279,lastname279,October,12,1998,BS Legal Management,0927 359 4345
name280,lastname280,November,15,2000,BS Management,0918 183 9884
name281,lastname281,February,12,1997,BS Management,0918 541 2404
name282,lastname282,March,23,1998,BS Management,0918 393 1948
name283,lastname283,November,3,1997,BS IT Entrepreneurship,0918 927 3119
name284,lastname284,August,13,1999,BS Communications Technology Management,0927 868 4707
name285,lastname285,September,17,1998,BS Communications Technology Management,0927 419 8095
name286,lastname286,December,28,1999,BS IT Entrepreneurship,0927 907 8179
name287,lastname287,February,18,1998,BS Communications Technology Management,0917 992 5274
name288,lastname288,April,4,2001,BS IT Entrepreneurship,0917 527 6893
name289,lastname289,October,15,1997,BS Management Engineering,0917 756 9357
name290,lastname290,July,8,1997,BS Management Engineering,0918 927 4291
name291,lastname291,December,27,2000,BS Management,0918 974 1369
name292,lastname292,January,25,1999,BS Communications Technology Management,0917 878 8313
name293,lastname293,March,1,1999,BS Management Engineering,0927 608 4808
name294,lastname294,January,14,1998,BS Legal Management,0918 983 8521
name295,lastname295,November,19,1999,BS IT Entrepreneurship,0918 345 5057
name296,lastname296,April,26,1999,BS Management,0927 416 2499
name297,lastname297,November,10,2000,BS Legal Management,0917 620 1837
name298,lastname298,January,8,1999,BS Management,0927 291 3676
name299,lastname299,February,18,1998,BS Management,0927 348 6668
name300,lastname300,May,22,1997,BS Communications Technology Management,0918 815 5153
name301,lastname301,April,27,1999,BS Legal Management,0927 285 5378
name302,lastname302,May,1,2001,BS Legal Management,0918 511 3241
name303,lastname303,December,18,1997,BS Legal Management,0917 739 1115
name304,lastname304,September,18,2000,BS Communications Technology Management,0918 533 7507
name305,lastname305,January,15,1997,BS Management,0917 641 8911
name306,lastname306,March,3,1998,BS Legal Management,0917 155 3009
name307,lastname307,February,12,2000,BS IT Entrepreneurship,0918 386 6738
name308,lastname308,December,13,1998,BS Communications Technology Management,0927 827 6122
name309,lastname309,November,8,1998,BS Management,0917 132 5014
name310,lastname310,August,21,1998,BS IT Entrepreneurship,0918 225 1879
name311,lastname311,June,23,1998,BS Management Engineering,0918 704 4147
name312,lastname312,May,16,1999,BS Management Engineering,0918 284 8832
name313,lastname313,August,8,1997,BS IT Entrepreneurship,0917 379 9404
name314,lastname314,July,19,1998,BS Management,0918 131 5008
name315,lastname315,December,19,1998,BS Legal Management,0917 656 2606
name316,lastname316,April,14,2001,BS Communications Technology Management,0927 212 2224
name317,lastname317,September,16,1997,BS Management Engineering,0918 458 4727
name318,lastname318,March,5,1999,BS Communications Technology Management,0917 462 5719
name319,lastname319,August,10,2000,BS Management Engineering,0927 239 1604
name320,lastname320,July,21,1997,BS Management,0917 854 8646
name321,lastname321,August,26,1997,BS Communications Technology Management,0927 414 7766
name322,lastname322,June,14,1999,BS Legal Management,0918 600 7855
name323,lastname323,June,8,1998,BS Management,0917 308 8490
